# category_id	title	note
adult_movies_high_risk	Poison Ivy: The Secret Society	manual high-risk title
adult_movies_high_risk	Secretary 2002	manual high-risk title
adult_movies_high_risk	Secretary (2002)	manual high-risk title
adult_movies_high_risk	Secretary film	manual high-risk title
adult_movies_high_risk	Shame 2011	manual high-risk title
adult_movies_high_risk	Shame (2011)	manual high-risk title
adult_movies_high_risk	Crash 1996	manual high-risk title
adult_movies_high_risk	Crash (1996)	manual high-risk title
adult_movies_high_risk	Bound 1996	manual high-risk title
adult_movies_high_risk	Bound (1996)	manual high-risk title
adult_movies_high_risk	Romance 1999	manual high-risk title
adult_movies_high_risk	Romance (1999)	manual high-risk title
adult_movies_high_risk	Romance X	manual high-risk title
adult_movies_high_risk	Q 2011	manual high-risk title
adult_movies_high_risk	Q (2011)	manual high-risk title
adult_movies_high_risk	Desire 2011	manual high-risk title
adult_movies_high_risk	Desire (2011)	manual high-risk title
adult_movies_high_risk	Showgirls	manual high-risk title
adult_movies_high_risk	Striptease	manual high-risk title
adult_movies_high_risk	The Canyons	manual high-risk title
adult_movies_high_risk	Lie with Me	manual high-risk title
adult_movies_high_risk	Lie With Me 2005	manual high-risk title
adult_movies_high_risk	Y Tu Mama Tambien	manual high-risk title
adult_movies_high_risk	Y Tu Mamá También	manual high-risk title
adult_movies_high_risk	Sex and Lucia	manual high-risk title
adult_movies_high_risk	Lucia y el sexo	manual high-risk title
adult_movies_high_risk	Lucía y el sexo	manual high-risk title
adult_movies_high_risk	Room in Rome	manual high-risk title
adult_movies_high_risk	Kama Sutra A Tale of Love	manual high-risk title
adult_movies_high_risk	Kama Sutra: A Tale of Love	manual high-risk title
adult_movies_high_risk	Kamasutra A Tale of Love	manual high-risk title
adult_movies_high_risk	Kamasutra 3D	manual high-risk title
adult_movies_high_risk	In the Realm of the Senses	manual high-risk title
adult_movies_high_risk	Ai no Corrida	manual high-risk title
adult_movies_high_risk	Delta of Venus	manual high-risk title
adult_movies_high_risk	Henry and June	manual high-risk title
adult_movies_high_risk	Henry & June	manual high-risk title
adult_movies_high_risk	Two Moon Junction	manual high-risk title
adult_movies_high_risk	The Lover 1992	manual high-risk title
adult_movies_high_risk	The Lover (1992)	manual high-risk title
adult_movies_high_risk	L'Amant	manual high-risk title
adult_movies_high_risk	Damage 1992	manual high-risk title
adult_movies_high_risk	Damage (1992)	manual high-risk title
adult_movies_high_risk	Bitter Moon	manual high-risk title
adult_movies_high_risk	The Unbearable Lightness of Being	manual high-risk title
adult_movies_high_risk	Betty Blue	manual high-risk title
adult_movies_high_risk	Belle de Jour	manual high-risk title
adult_movies_high_risk	Jamon Jamon	manual high-risk title
adult_movies_high_risk	Jamón Jamón	manual high-risk title
